Flag,PONum,Status,VendorName,VendorContact,RemitToName,RemitToAddress,RemitToCity,RemitToState,RemitToZip,RemitToCountry,ShipToName,DeliverToName,ShipToAddress,ShipToCity,ShipToState,ShipToZip,ShipToCountry,CarrierName,VendorSONum,CustomerSONum,CreatedDate,CompletedDate,ConfirmedDate,FulfillmentDate,IssuedDate,Buyer,ShippingTerms,PaymentTerms,FOB,Note,QuickBooksClassName,LocationGroupName,URL,CF-Invoice #,CF-Invoice Date
Flag, ,PartNumber,VendorPartNumber,PartQuantity,FulfilledQuantity,PickedQuantity,UOM,PartPrice,FulfillmentDate,LastFulfillmentDate,RevisionLevel,Note,QuickBooksClassName,,,,,,,,,,,,,,,,,,,,,,
PO,LTHP0406B,10,Amazon Vendor Returns,Main Address,Amazon Vendor Returns,410 Terry Ave N,Seattle,WA,2018-8-17,Receiving,CUK,,1555 Standing Ridge Drive Suite A-1,Powhatan,VA,23139,UNITED STATES,Will Call,,,,,,,,,,,,,,,,,
Item,10,LT-HP-0406-CUK-001-B-UF,LT-HP-0406-CUK-001-B-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
PO,LTHP0568B,10,Amazon Vendor Returns,Main Address,Amazon Vendor Returns,410 Terry Ave N,Seattle,WA,2018-8-17,Receiving,CUK,,1555 Standing Ridge Drive Suite A-1,Powhatan,VA,23139,UNITED STATES,Will Call,,,,,,,,,,,,,,,,,
Item,10,LT-HP-0568-B-UF,LT-HP-0568-B-UF,2,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
PO,vi8fj3C487,10,Amazon Vendor Returns,Main Address,Amazon Vendor Returns,410 Terry Ave N,Seattle,WA,2018-8-17,Receiving,CUK,,1555 Standing Ridge Drive Suite A-1,Powhatan,VA,23139,UNITED STATES,Will Call,,,,,,,,,,,,,,,,,
Item,10,LT-WIFI-032-UF,LT-WIFI-032-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-HP-0603-B-UF,LT-HP-0603-B-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-LE-0401-CUK-001-UF,LT-LE-0401-CUK-001-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-AS-0209-UF,LT-AS-0209-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,DT-CU-0006-CUK-025-UF,DT-CU-0006-CUK-025-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-AS-0209-CUK-002-UF,LT-AS-0209-CUK-002-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-HP-0596-UF,LT-HP-0596-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-HDD-0012-ST500LM021-UF,LT-HDD-0012-ST500LM021-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-HU-0001-CUK-001-UF,LT-HU-0001-CUK-001-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-HP-0635-UF,LT-HP-0635-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,AC-GPU-119-UF,AC-GPU-119-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,LT-CL-0009-CUK-007-UF,LT-CL-0009-CUK-007-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
Item,10,SC-0017-B173RW01-UF,SC-0017-B173RW01-UF,1,,,ea,0,2018-8-17,2018-8-17,,,,,,,,,,,,,,,,,,,,,,,,,
