PartNumber,PartDescription,PartDetails,UOM,UPC,PartType,Active,ABCCode,Weight,WeightUOM,Width,Height,Length,SizeUOM,PrimaryTracking,AlertNote,PictureUrl,Tracks-Lot Number,Tracks-Serial Number,Tracks-Asset Tag,Tracks-Condtion,CF-MPN,CF-Max Spec Needed,CF-Integration Manual Needed,CF-CPU Type,CF-Processor,CF-CPU Base Frequency (GHz),CF-Screen Size,CF-Display Type,CF-Display (Long Form),CF-Screen Resolution,CF-Touchscreen?,CF-IPS?,CF-120Hz,CF-144Hz,CF-5ms Response Time,CF-3ms Response Time,CF-G-Sync,CF-Graphics Card,CF-VRAM (GB),CF-VR Ready?,CF-RAM Size,CF-RAM Type,CF-RAM Speed (MHz),CF-Max RAM Capability,CF-SSD,CF-SSD Type,CF-RAID,CF-HDD,CF-HDD Speed (RPM),CF-Optical Drive,CF-Operating System,CF-Wireless,CF-Wifi Brand,CF-Bluetooth,CF-USB Ports,CF-USB 3.1 Type C,CF-Video Ports,CF-Thunderbolt,CF-Audio Ports,CF-Card Reader,CF-Keyboard,CF-Backlit Keyboard,CF-Fingerprint Reader,CF-Webcam,CF-Battery,CF-Power Supply (W),CF-Item Length (in),CF-Item Width (in),CF-Item Height (in),CF-Item Weight (lb)
LT-MS-0274-CUK-003,"CUK MSI GS63VR Stealth Pro-674 - i7-7700HQ, 16GB DDR4, 500GB NVMe SSD + 1TB, GTX 1060 6GB, 15.6"" Full HD, Windows 10 Home","Inputs: 500GB M.2 NVMe 2280
Outputs: 128GB M.2 SATA 2280",ea,8.24142E+11,Inventory,TRUE,N,0,lbs,0,0,0,ft,Serial Number,,,FALSE,TRUE,FALSE,FALSE,GS63VR STEALTH PRO-674,,,Intel Core i7 7th Gen,i7-7700HQ,2.8,"15.6""",Full HD,"15.6"" Full HD eDP IPS Level Display",1920 x 1080,,1,,,,,,NVIDIA Geforce GTX 1060,6,1,16GB,DDR4,2400,32GB,512GB,NVMe,,1TB,5400,,Windows 10 Home,802.11 AC,,Bluetooth 4.1,"3 x USB 3.0, 1 x USB 2.0",,"1 x Thunderbolt 3, 1 x HDMI, 1 x Mini DisplayPort",1,"1 x Microphone Jack, 1 x Headphone Jack",SD (XC / HC),Steel Series Full-color backlight with Anti-Ghost key + silver lining,1,,720p HD Webcam,3-Cell Lithium-ion (65 Whr),180-watt AC adapter,14.96,9.8,0.69,3.96
LT-DE-0075,"Dell Inspiron 5379 I13-5379I7258T-REF Convertible 2-IN-1 CoreTM i7-8550U 1.8GHz 256GB SSD 8GB 13.3"" (1920x1080) TOUCHSCREEN BT WIN10 IR Webcam ERA GRAY Backlit Keyboard",,ea,,Inventory,TRUE,N,0,lbs,0,0,0,ft,Serial Number,,,FALSE,TRUE,FALSE,FALSE,I13-5379I7258T-REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT-MS-0274-CUK-004,"CUK MSI GS63VR Stealth Pro-674 - i7-7700HQ, 32GB DDR4, 250GB NVMe SSD + 2TB, GTX 1060 6GB, 15.6"" Full HD, Windows 10 Home","Inputs: 2x16GB DDR4-2400 + 250GB M.2 NVMe 2280 + 2TB@5400 7mm
Outputs: 2x8GB DDR4-2400 + 128GB M.2 SATA 2280 + 1TB@5400 7mm",ea,8.24142E+11,Inventory,TRUE,N,0,lbs,0,0,0,ft,Serial Number,,,FALSE,TRUE,FALSE,FALSE,GS63VR STEALTH PRO-674,,,Intel Core i7 7th Gen,i7-7700HQ,2.8,"15.6""",Full HD,"15.6"" Full HD eDP IPS Level Display",1920 x 1080,,1,,,,,,NVIDIA Geforce GTX 1060,6,1,32GB,DDR4,2400,32GB,250GB,NVMe,,2TB,5400,,Windows 10 Home,802.11 AC,,Bluetooth 4.1,"3 x USB 3.0, 1 x USB 2.0",,"1 x Thunderbolt 3, 1 x HDMI, 1 x Mini DisplayPort",1,"1 x Microphone Jack, 1 x Headphone Jack",SD (XC / HC),Steel Series Full-color backlight with Anti-Ghost key + silver lining,1,,720p HD Webcam,3-Cell Lithium-ion (65 Whr),180-watt AC adapter,14.96,9.8,0.69,3.96
LT-MS-0255-CUK-004-UF,"MSI GF62 7RE-1452 Gamer Notebook (Intel i7-7700HQ, 32GB, 500GB NVMe SSD + 1TB HDD, NVIDIA GTX 1050 Ti 4GB) - 15.6"" Full HD, Windows 10, Gaming Laptop Computer","Input: 2x16GB DDR4-2400, 500GB M.2 NVMe 2280
Output: 1x16GB DDR4-2133",ea,,Inventory,TRUE,N,1,lbs,0,0,0,in,Serial Number,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT-AS-0204-CUK-002-UF,"ASUS VivoBook S410UQ-NH74 - i7-8550U, 16GB DDR4, 256GB SSD + 1TB HDD, NVIDIA Geforce 940MX 2GB, 14? Full HD, Windows 10 Home","Inputs: 2x8GB DDR4-2400, 1TB@5400 7mm
Outputs: 1x8GB DDR4-2400",ea,,Inventory,TRUE,N,1,lbs,0,0,0,in,Serial Number,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT-CL-0003-CUK-001-UF,"CUK P870VR-SLI (Intel i7-7700K, 32GB RAM, 512GB NVMe SSD + 2TB HDD, 2 x NVIDIA GeForce GTX 1080 8GB, 17.3? 3K QHD, Windows 10 Pro)","Input: i7-7700K, 2x16GB DDR4-2400, 512GB M.2 NVMe 2280, 2TB@5400 7mm, W10P
Output: -",ea,,Inventory,TRUE,N,1,lbs,0,0,0,in,Serial Number,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT-AS-0184-CUK-002-UF,"ASUS GL703VD-DB74 i7-7700HQ, 16GB DDR4, 256GB NVMe SSD + 1TB HDD, GTX 1050 4GB, 17.3"" Full HD, Windows 10 Home","Input: 2x8GB DDR4-2400, 256GB M.2 NVMe 2280
Output: 1x16GB DDR4-2400, 256GB M.2 SATA 2280",ea,,Inventory,TRUE,N,1,lbs,0,0,0,in,Serial Number,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT-HP-0569-CUK-004-UF,"HP Pavilion 15 Power 4K (Intel Quad Core i7-7700HQ, 32GB DDR4 RAM, 256GB NVMe SSD + 1TB HDD, 15.6-ich UHD 4K, NVIDIA GTX 1050 4GB, Windows 10) Gaming Laptop Computer","Inputs: 2x16GB DDR4-2400
Outputs: 2x8GB DDR4-2400",ea,,Inventory,TRUE,N,0,lbs,0,0,0,ft,Serial Number,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,Intel Core i7 7th Gen,i7-7700HQ,2.8,"15.6""",4K UHD,"15.6"" diagonal 4K IPS anti-glare WLED-backlit (3840 x 2160)",3840 x 2160,,1,,,,,,NVIDIA Geforce GTX 1050,4,,32GB,DDR4,2400,,256GB,NVMe,,1TB,7200,,Windows 10 Home,802.11 AC,Intel,Bluetooth 4.2,"1x USB 3.1 Type-C, 3x USB 3.1 Gen 1",1,"1x HDMI, 1x mini DisplayPort",,1x Headphone/Microphone Combo,Multi-Format SD Card Reader,Full-size backlit island-style keyboard with integrated numeric keypad,1,,HP Wide Vision HD Camera with Dual array digital microphone,"4-Cell, 70 Wh Lithium-Ion Battery",,14.88,9.93,0.95,4.87
LT-HP-0552-CUK-004-UF,"CUK HP Omen 17 1JS54AV Gamer VR Laptop (NVIDIA GTX 1070 8GB, Intel i7-7700HQ, 32GB RAM, 512GB NVMe SSD + 1TB HDD) - Best 17.3"" Full HD 60Hz - VR Ready Gaming with Windows 10, Notebook Computer","Input: 2x16GB DDR4-2400, 512GB M.2 NVMe 2280
Output: 1x8GB DDR4-2400",ea,,Inventory,TRUE,N,1,lbs,0,0,0,in,Serial Number,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,Intel Core i7 7th Gen,i7-7700HQ,2.8,"17.3""",Full HD,"17.3"" diagonal FHD 120 Hz IPS anti-glare WLED-backlit (1920 x 1080)",1920 x 1080,,1,1,,,,,NVIDIA Geforce GTX 1070,8,1,32GB,DDR4,2400,,512GB,NVMe,,1TB,7200,,Windows 10 Home,802.11 AC,Intel,Bluetooth 4.2,"1x Thunderbolt 3, 3x USB 3.1 Gen 1",,"1x HDMI, 1x mini DisplayPort",1,"1x Headphone/Microphone Combo, 1x Microphone-In",Multi-Format SD Card Reader,Full-size island-style backlit keyboard with numeric keypad,1,,HP Wide Vision HD Camera and dual array digital microphone,"8-Cell, 86 Wh Lithium-Ion Battery",,16.65,11.97,1.3,8.23
LT-LE-0087-UF,Lenovo ThinkPad X1 Carbon 20A70033US,,ea,,Inventory,TRUE,N,1,lbs,0,0,0,in,Serial Number,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
